anvil_level,reference_battle_level,monster_coins_per_nominal_day,sales_coins_per_nominal_day,total_coins_per_nominal_day,hammers_per_nominal_day,new_upgrade_coins
1,1,3780,1458,5238,1620,0
2,3,4219,1458,5677,1620,50
3,6,4790,1458,6248,1620,53
4,8,5146,1458,6604,1620,56
5,10,5727,1458,7185,1620,110
6,12,5784,2187,7971,2430,340
7,15,6381,2187,8568,2430,1100
8,17,6963,2187,9150,2430,2000
9,19,7020,2187,9207,2430,3000
10,21,7617,3038,10654,3375,4200
11,24,8242,3068,11310,3375,4900
12,26,8313,3098,11411,3375,5600
13,28,8910,3189,12099,3375,6200
14,30,9521,3341,12862,3375,6600
15,33,10175,4520,14695,4185,7000
16,35,10786,5085,15871,4185,7700
17,37,11397,5838,17235,4185,9000
18,40,12079,6591,18670,4185,10000
19,42,12704,8772,21477,5130,12000
20,44,13344,8772,22116,5130,13000
21,46,13983,9003,22986,5130,15000
22,49,15219,9234,24453,5130,20000
23,51,15887,10692,26579,5940,23000
24,53,16541,10692,27233,5940,26000
25,55,17223,10692,27915,5940,30000
26,58,18502,10692,29194,5940,32000
27,60,19724,10692,30416,5940,35000
28,62,20946,12150,33096,6750,38000
29,64,21657,12150,33807,6750,42000
30,67,23518,12150,35668,6750,48000
31,69,24769,12150,36919,6750,51000
32,71,26048,13851,39899,7695,65000
33,74,27966,13851,41817,7695,69000
34,76,29259,13851,43110,7695,78000
35,78,30567,13851,44418,7695,84000
36,80,32414,13851,46265,7695,90000
37,83,34958,15309,50267,8505,95000
38,85,36308,15386,51693,8505,110000
39,87,38212,15462,53674,8505,120000
40,89,40116,15692,55808,8505,130000
41,92,43285,17861,61146,9450,140000
42,94,45772,18711,64483,9450,150000
43,96,47747,19987,67734,9450,160000
44,98,50277,21688,71965,9450,170000
45,101,54099,25394,79493,10260,180000
46,103,56686,26779,83464,10260,200000
47,105,59812,26871,86683,10260,220000
48,107,62967,27425,90392,10260,240000
49,110,67486,28164,95649,10260,260000
50,112,71237,30885,102123,11070,280000
51,114,74492,31882,106373,11070,300000
52,117,80218,33376,113594,11070,340000
53,119,84609,35369,119978,11070,360000
54,121,89029,40551,129580,12015,400000
55,123,93491,42173,135664,12015,420000
56,126,100525,42281,142806,12015,470000
57,128,105613,42930,148542,12015,500000
58,130,110743,43795,154537,12015,530000
59,132,116455,47324,163780,12825,560000
60,135,125365,48479,173844,12825,600000
61,137,131732,50210,181941,12825,640000
62,139,138666,52518,191185,12825,680000
63,141,145672,58867,204539,13770,730000
64,144,156557,60726,217283,13770,790000
65,146,164771,60850,225621,13770,860000
66,148,173042,61593,234635,13770,930000
67,151,186399,66266,252666,14580,990000
68,153,195395,66922,262317,14580,1100000
69,155,205527,68234,273761,14580,1200000
70,157,215744,70203,285947,14580,1300000
71,160,232299,72827,305127,14580,1400000
72,162,244336,79643,323979,15390,1500000
73,164,256472,81721,338192,15390,1600000
74,166,269773,81859,351632,15390,1700000
75,169,290207,83106,373313,15390,1800000
76,171,304844,90414,395258,16335,1900000
77,173,320675,93355,414029,16335,2000000
78,175,336647,97030,433677,16335,2100000
79,178,362695,99970,462665,16335,2300000
80,180,381141,101440,482581,16335,2500000
